"id";"title";"author";"year";"isbn"
"4047";"Honor's Splendour";"Julie Garwood";"1987";"0671737821"
"4048";"The Neighbor";"Lisa Gardner";"2009";"0553807234"
"4049";"Rainbow Valley";"L.M. Montgomery";"1917";"0553213180"
"4050";"The Moon Is Down";"John Steinbeck";"1942";"0141185538"
"4051";"Girl in Hyacinth Blue";"Susan Vreeland";"1999";"014029628X"
"4052";"The Outlaw Demon Wails ";"Kim Harrison";"2008";"0060788704"
"4053";"Iron Kissed";"Patricia Briggs";"2008";"0441015662"
"4054";"The Orchardist";"Amanda Coplin";"2012";"006218850X"
"4055";"Affliction";"Laurell K. Hamilton";"2013";"0425255700"
"4056";"The Chase";"Clive Cussler";"2007";"0399154388"
"4057";"Sweet Filthy Boy ";"Christina Lauren";"2014";"1476751803"
"4058";"The Killer Angels";"Michael Shaara";"1974";"0345348109"
"4059";"Angels Flight";"Michael Connelly";"1999";"0446607274"
"4060";"Someone";"Alice McDermott";"2013";"0374281092"
"4061";"Love Story";"Erich Segal";"1970";"0380017601"
"4062";"Shadow of the Giant";"Orson Scott Card";"2005";"1841492051"
"4063";"A Dirty Job";"Christopher Moore";"2006";"0060590270"
"4064";"Captains and the Kings";"Taylor Caldwell";"1972";"0449205622"
"4065";"The Wishsong of Shannara ";"Terry Brooks";"1985";"1857231325"
"4066";"First Frost";"Sarah Addison Allen";"2015";"1250019834"
"4067";"Runaway Ralph";"Beverly Cleary";"1970";"0590664875"
"4068";"Woken Furies";"Richard K. Morgan";"2005";"0345479718"
"4069";"The Hard Way";"Lee Child";"2006";"0385336691"
"4070";"Unwind";"Neal Shusterman";"2007";"1416912045"
"4071";"Eats, Shoots and Leaves";"Lynne Truss";"2003";"1592402038"
"4072";"Lord Jim";"Joseph Conrad";"1900";"1551111721"
"4073";"Dexter in the Dark";"Jeff Lindsay";"2006";"0385518331"
"4074";"Anansi Boys";"Neil Gaiman";"2005";"0060515198"
"4075";"Clockwork Angel";"Cassandra Clare";"2010";"1416975861"
"4076";"Motor Mouth";"Janet Evanovich";"2006";"0060584033"
"4077";"Good Wives";"Louisa May Alcott";"1868";"1419122126"
"4078";"Forever Peace ";"Joe Haldeman";"1997";"0441005667"
"4079";"Hidden";"P.C. Cast, Kristin Cast";"2012";"0312594429"
"4080";"Boundaries";"Henry Cloud, John Townsend";"1992";"0310247454"
"4081";"The Silence of the Lambs";"Thomas Harris";"1988";"0099446782"
"4082";"First Among Sequels ";"Jasper Fforde";"2007";"0670038717"
"4083";"Black Water";"D.J. MacHale";"2004";"0689869118"
"4084";"Kar";"Orhan Pamuk, Maureen Freely";"2002";"0375706860"
"4085";"The Greatest Generation";"Tom Brokaw";"1998";"0812975294"
"4086";"Club Dead";"Charlaine Harris";"2003";"1841493015"
"4087";"The Jungle Book";"Rudyard Kipling";"1894";"0812504690"
"4088";"Rainbows End";"Vernor Vinge";"2006";"0812536363"
"4089";"Books of Blood: Volume One";"Clive Barker";"1984";"0425083896"
"4090";"Candide";"Voltaire";"1759";"0486266893"
"4091";"The Family Fang";"Kevin    Wilson";"2011";"0061579033"
"4092";"The Sweet Far Thing";"Libba Bray";"2007";"0385730306"
"4093";"A Crown of Swords";"Robert Jordan";"1996";"0812550285"
"4094";"The List";"Siobhan Vivian";"2012";"0545169178"
"4095";"The Drop";"Michael Connelly";"2011";"0316069418"
"4096";"Abhorsen";"Garth Nix";"2003";"0060278250"
"4097";"Boy, Snow, Bird";"Helen Oyeyemi";"2013";"1594631395"
"4098";"Bone Crossed";"Patricia Briggs";"2009";"1841496863"
"4099";"Survivor";"Chuck Palahniuk";"1999";"009928264X"
"4100";"The Swan Thieves";"Elizabeth Kostova";"2010";"1847442404"
"4101";"Light A Penny Candle";"Maeve Binchy";"1982";"009949857X"
"4102";"Breathing Lessons";"Anne Tyler";"1988";"0345485599"
"4103";"The Covenant";"Beverly  Lewis";"2002";"0764223305"
"4104";"Snow Crash";"Neal Stephenson";"1992";"0553380958"
"4105";"House of Sand and Fog";"Andre Dubus III";"1999";"0375727345"
"4106";"The Ghost Map";"Steven Johnson";"2006";"1594489254"
"4107";"The Fires of Heaven";"Robert Jordan";"1993";"1857232097"
"4108";"Five Children and It ";"E. Nesbit";"1902";"0140367357"
"4109";"The Other Queen";"Philippa Gregory";"2008";"1416549129"
"4110";"Fourth of July Creek";"Smith Henderson";"2014";"0062286447"
"4111";"Ever After";"Karen Kingsbury";"2006";"031024756X"
"4112";"The King's Buccaneer";"Raymond E. Feist";"1992";"0553563734"
"4113";"Cook with Jamie";"Jamie Oliver";"2006";"0718147715"
"4114";"The Third Policeman";"Flann O'Brien";"1967";"156478214X"
"4115";"The Lost Gate";"Orson Scott Card";"2011";"0765326574"
"4116";"Pollyanna";"Eleanor H. Porter";"1912";"0689849109"
"4117";"The Hidden Oracle";"Rick Riordan";"2016";"148473274X"
"4118";"Pines";"Blake Crouch";"2012";"1469216000"
"4119";"Bittersweet";"Miranda Beverly-Whittemore";"2014";"0804138567"
"4120";"The Scarlatti Inheritance";"Robert Ludlum";"1971";"0752858653"
"4121";"Fall of Giants";"Ken Follett";"2010";"0525951652"
"4122";"Hunting Ground";"Patricia Briggs";"2009";"044101738X"
"4123";"The Scar of David";"Susan Abulhawa";"2006";"1608190463"
"4124";"Holes";"Louis Sachar, Louis Sachar";"1998";"0439244196"
"4125";"The Candy Shop War";"Brandon Mull";"2007";"159038783X"
"4126";"My Best Friend's Girl";"Dorothy Koomson";"2006";"0385341326"
"4127";"Rilla of Ingleside";"L.M. Montgomery";"1921";"0553269224"
"4128";"Gorillas in the Mist";"Dian Fossey";"1983";"061808360X"
"4129";"H is for Homicide";"Sue Grafton";"1991";"044900063X"
"4130";"Everything Leads to You";"Nina LaCour";"2014";"0525425888"
"4131";"The Troop";"Nick Cutter";"2014";"1476717710"
"4132";"Styxx";"Sherrilyn Kenyon";"2013";"1250029880"
"4133";"Homeland";"R.A. Salvatore";"1990";"0786939532"
"4134";"Theodore Rex";"Edmund Morris";"2001";"0812966007"
"4135";"An Ice Cold Grave";"Charlaine Harris";"2007";"0425217299"
"4136";"Hidden Riches";"Nora Roberts";"1994";"0425197220"
"4137";"The Testing";"Joelle Charbonneau";"2013";"0547959109"
"4138";"Darkfall";"Dean Koontz";"1984";"0425214591"
"4139";"Kitty Goes to Washington";"Carrie Vaughn";"2006";"0446616427"
"4140";"Welcome to the Jungle";"Jim Butcher";"2008";"0345507460"
"4141";"By the Sword";"Mercedes Lackey";"1991";"0886774632"
"4142";"Death Comes to Pemberley";"P.D. James";"2012";"0307959856"
"4143";"Love Anthony";"Lisa Genova";"2012";"1439164681"
"4144";"Authority ";"Jeff VanderMeer";"2014";"0374104107"
"4145";"The Beatles: The Biography";"Bob Spitz";"2005";"0316013315"
"4146";"The Rum Diary";"Hunter S. Thompson";"1998";"0684856476"
"4147";"Stargazer";"Claudia Gray";"2009";"0061284408"
"4148";"Twilight";"Leigh Nichols, Dean Koontz";"1984";"0747236380"
"4149";"Where the Red Fern Grows";"Wilson Rawls";"1961";"0375806814"
"4150";"R is for Ricochet";"Sue Grafton";"2004";"0425203867"
"4151";"The Buried Giant";"Kazuo Ishiguro";"2015";"030727103X"
"4152";"Frostbite";"Richelle Mead";"2008";"1595141758"
"4153";"Finale";"Becca Fitzpatrick";"2012";"1442426675"
"4154";"Abaddon's Gate";"James S.A. Corey";"2013";"0316129070"
"4155";"The Midwich Cuckoos";"John Wyndham";"1957";"0345299116"
"4156";"The Cay";"Theodore Taylor";"1969";"044022912X"
"4157";"The City of Falling Angels";"John Berendt";"2005";"0143036939"
"4158";"The Stonekeeper's Curse";"Kazu Kibuishi";"2009";"0439846838"
"4159";"Golden Son";"Pierce Brown";"2015";"0345539826"
"4160";"Out of the Easy";"Ruta Sepetys";"2013";"039925692X"
"4161";"The Earthsea Trilogy";"Ursula K. Le Guin";"1975";"0140050930"
"4162";"Cutting for Stone";"Abraham Verghese";"2009";"0375414495"
"4163";"The Egypt Game";"Zilpha Keatley Snyder";"1967";"0808553038"
"4164";"The Book with No Pictures";"B.J. Novak";"2014";"0803741715"
"4165";"Angels & Demons ";"Dan Brown";"2000";"1416524797"
"4166";"Airman";"Eoin Colfer";"2007";"0141383356"
"4167";"Memorial Day";"Vince Flynn";"2004";"1416548009"
"4168";"Beloved";"Toni Morrison";"1987";"1400033411"
"4169";"Burial Rites";"Hannah Kent";"2013";"0316243914"
"4170";"A Good Yarn";"Debbie Macomber";"2005";"0778322955"
"4171";"In This Mountain (Mitford)";"Jan Karon";"2002";"0143035088"
"4172";"The Postman";"David Brin";"1985";"0553278746"
"4173";"The Girl with All the Gifts";"M.R. Carey";"2014";"0356500152"
"4174";"The Nightingale";"Kristin Hannah";"2015";"0312577222"
"4175";"Perfect You";"Elizabeth Scott";"2008";"1416953558"
"4176";"Salvation in Death";"J.D. Robb";"2008";"0749908904"
"4177";"Glue";"Irvine Welsh";"2001";"0099436922"
"4178";"Cuentos de Eva Luna";"Isabel Allende";"1988";"0743217187"
"4179";"A Hat Full of Sky";"Terry Pratchett";"2004";"055255264X"
"4180";"The Eagle Has Landed";"Jack Higgins";"1975";"0140273344"
"4181";"Sharpe's Rifles";"Bernard Cornwell";"1988";"0140294295"
"4182";"The Little Lady Agency";"Hester Browne";"2005";"1416527265"
"4183";"The Burning Bridge";"John Flanagan";"2005";"0399244557"
"4184";"The Mist";"Stephen King";"1980";"0451223292"
"4185";"The Prodigal Daughter";"Jeffrey Archer";"1982";"0312997140"
"4186";"Half Girlfriend";"Chetan Bhagat";"2014";"8129135728"
"4187";"Fallen";"Lauren Kate";"2009";"0385738935"
"4188";"Stardust";"Neil Gaiman";"1999";"0061142026"
"4189";"Storm";"Brigid Kemmerer";"2012";"0758272812"
"4190";"The Three";"Sarah Lotz";"2014";"031624290X"
"4191";"Animal Dreams";"Barbara Kingsolver";"1990";"0060921145"
"4192";"American Born Chinese";"Gene Luen Yang";"2006";"1596431520"
"4193";"The Black Box";"Michael Connelly";"2012";"0316069434"
"4194";"The Short Victorious War";"David Weber";"1994";"0671875965"
"4195";"The Inn At Rose Harbor";"Debbie Macomber";"2012";"0345528921"
"4196";"The Crippled God";"Steven Erikson";"2011";"0593046358"
"4197";"The Day of the Triffids";"John Wyndham";"1951";"0812967127"
"4198";"Paranormalcy";"Kiersten White";"2010";"0061985848"
"4199";"Think and Grow Rich";"Napoleon Hill";"1937";"1585424331"
"4200";"The Forge of God";"Greg Bear";"1987";"0765301075"
"4201";"Uganda Be Kidding Me";"Chelsea Handler";"2014";"1455599735"
"4202";"Words of Radiance";"Brandon Sanderson";"2014";"0765326361"
"4203";"Whispers at Moonrise ";"C.C. Hunter";"2012";"1250011914"
"4204";"The Rook";"Daniel O'Malley";"2012";"0316098795"
"4205";"Lirael";"Garth Nix";"2001";"0060590165"
"4206";"Horns";"Joe Hill";"2009";"0061147958"
"4207";"Heir of Fire";"Sarah J. Maas";"2014";"1619630656"
"4208";"Magic Bleeds";"Ilona Andrews";"2010";"0441018521"
"4209";"Ya-Yas in Bloom";"Rebecca Wells";"2005";"0007201095"
"4210";"Rama II";"Arthur C. Clarke, Gentry Lee";"1989";"2290032042"
"4211";"Cursor's Fury";"Jim Butcher";"2006";"0441014348"
"4212";"Daughter of the Blood";"Anne Bishop";"1998";"0451456718"
"4213";"Blood Bound";"Patricia Briggs";"2007";"0441014739"
"4214";"Five Run Away Together";"Enid Blyton";"1944";"0340796170"
"4215";"The Lord of the Rings";"J.R.R. Tolkien";"1955";"0618640150"
"4216";"The First Part Last";"Angela Johnson";"2003";"0689849230"
"4217";"The Winner";"David Baldacci";"1997";"0446522597"
"4218";"Mind Prey";"John Sandford";"1995";"0425152898"
"4219";"Taran Wanderer";"Lloyd Alexander";"1967";"0805080511"
"4220";"The Prince";"Kiera Cass";"2013";"0062248162"
"4221";"Lord Loss";"Darren Shan";"2005";"0316012335"
"4222";"A Girl Like You";"Gemma Burgess";"2011";"184756190X"
"4223";"Smile";"Raina Telgemeier";"2009";"0545132053"
"4224";"Princess in Training";"Meg Cabot";"2006";"0060096152"
"4225";"Rot & Ruin";"Jonathan Maberry";"2010";"1442402326"
"4226";"Flaskepost fra P";"Jussi Adler-Olsen";"2009";"8756787650"
"4227";"Fudge-a-Mania";"Judy Blume";"1990";"0425193829"
"4228";"Intertwined";"Gena Showalter";"2009";"0373210027"
"4229";"Cat's Cradle";"Kurt Vonnegut Jr.";"1963";"0140285601"
"4230";"The Ship Who Sang";"Anne McCaffrey";"1969";"0345334310"
"4231";"Grasshopper Jungle";"Andrew  Smith";"2014";"0525426035"
"4232";"The Uncommon Reader ";"Alan Bennett";"2007";"0374280967"
"4233";"Never Have I Ever ";"Sara Shepard";"2011";"0061869724"
"4234";"The Very Quiet Cricket";"Eric Carle";"1990";"0399218858"
"4235";"The Looking Glass Wars";"Frank Beddor";"2004";"0803731531"
"4236";"Unnatural Death";"Dorothy L. Sayers";"1927";"0061043583"
"4237";"The Duke and I";"Julia Quinn";"2000";"0380800829"
"4238";"The Haunted Mask";"R.L. Stine";"1993";"0439568331"
"4239";"Girl in a Band";"Kim Gordon";"2015";"0062295896"
"4240";"Turn Coat";"Jim Butcher";"2009";"0451462564"
"4241";"Surfacing";"Margaret Atwood";"1972";"0385491050"
"4242";"Glamorama";"Bret Easton Ellis";"1998";"0375703845"
"4243";"Influx";"Daniel Suarez";"2014";"0525953183"
"4244";"The Beet Queen";"Louise Erdrich";"1985";"0060835273"
"4245";"Dreaming of You ";"Lisa Kleypas";"1994";"038077352X"
"4246";"Lover Enshrined, part two";"J.R. Ward";"2009";"0451225856"
"4247";"The Power of Habit";"Charles Duhigg";"2011";"1400069289"
"4248";"A Morbid Taste for Bones";"Ellis Peters";"1977";"0446400157"
"4249";"The Emperor's Tomb";"Steve Berry";"2010";"0345505492"
"4250";"Blackberry Wine";"Joanne Harris";"1999";"0380815923"
"4251";"A Son of the Circus";"John Irving";"1994";"0345915623"
"4252";"Article 5";"Kristen Simmons";"2012";"0765329581"
"4253";"Natchez Burning";"Greg Iles";"2014";"0062311077"
"4254";"The Apprentice";"Tess Gerritsen";"2002";"0345447867"
"4255";"Hold Tight";"Harlan Coben";"2008";"0525950608"
"4256";"Stoner";"John  Williams, John McGahern";"1965";"1590171993"
"4257";"The Mad Ship";"Robin Hobb";"1999";"0006498868"
"4258";"Broken";"Karin Slaughter";"2010";"0385341970"
"4259";"The Broker";"John Grisham";"2005";"0385340540"
"4260";"Halo";"Alexandra Adornetto";"2010";"0312656262"
"4261";"Envy";"Sandra Brown";"1999";"0749932945"
"4262";"The Bean Trees";"Barbara Kingsolver";"1988";"0812474945"
"4263";"The Program";"Suzanne Young";"2013";"1442445807"
"4264";"A Room with a View";"E.M. Forster";"1908";"1420925431"
"4265";"The Two Towers";"J.R.R. Tolkien";"1954";"0618346260"
"4266";"Futures and Frosting";"Tara Sivec";"2012";"1478314605"
"4267";"The Inner Circle";"Brad Meltzer";"2011";"0446577898"
"4268";"The Sum of All Fears";"Tom Clancy";"1991";"0425184226"
"4269";"Austerlitz";"W.G. Sebald, Anthea Bell";"2001";"0140297995"
"4270";"Palestine";"Joe Sacco, Edward Said";"1996";"156097432X"
"4271";"The Sandcastle Girls";"Chris Bohjalian";"2012";"0385534795"
"4272";"Xenocide";"Orson Scott Card";"1991";"0312861877"
"4273";"The Pillars of Creation";"Terry Goodkind";"2001";"0765340747"
"4274";"The Inimitable Jeeves ";"P.G. Wodehouse";"1923";"0140284125"
"4275";"Sacajawea";"Anna Lee Waldo";"1978";"0380842939"
"4276";"The Obelisk Gate";"N.K. Jemisin";"2016";"0356508366"
"4277";"Circling the Sun";"Paula McLain";"2015";"0345534182"
"4278";"Shadow of Night";"Deborah Harkness";"2012";"0670023485"
"4279";"Teacher Man";"Frank McCourt";"2005";"0743243781"
"4280";"Don't Waste Your Life";"John Piper";"2003";"1581344988"
"4281";"Cosmos";"Carl Sagan";"1980";"0375508325"
"4282";"Hannibal";"Thomas Harris";"1999";"0099297701"
"4283";"Changes";"Jim Butcher";"2010";"045146317X"
"4284";"Kim";"Rudyard Kipling, Edward Said";"1901";"0140183523"
"4285";"Black Rose";"Nora Roberts";"2005";"0739453823"
"4286";"Promised";"Caragh M. O'Brien";"2012";"1596435712"
"4287";"Memnoch The Devil";"Anne Rice";"1995";"096319254X"
"4288";"Full Moon Rising";"Keri Arthur";"2006";"0553588451"
"4289";"Everything I Never Told You";"Celeste Ng";"2014";"159420571X"
"4290";"Piercing the Darkness";"Frank E. Peretti";"1989";"1581345275"
"4291";"Across the Universe";"Beth Revis";"2011";"1595143971"
"4292";"Nature Girl";"Carl Hiaasen";"2006";"0307262995"
"4293";"Scandal in Spring";"Lisa Kleypas";"2006";"0060562536"
"4294";"Cress";"Marissa Meyer";"2014";"0312642970"
"4295";"Assholes Finish First";"Tucker Max";"2008";"1416938745"
"4296";"Good in Bed";"Jennifer Weiner";"2001";"0743418174"
"4297";"Carpe Corpus";"Rachel Caine";"2009";"0451227190"
"4298";"Tears of a Tiger";"Sharon M. Draper";"1994";"0689806981"
"4299";"Eloise";"Kay Thompson, Hilary Knight";"1955";"067122350X"
"4300";"Rage";"Richard Bachman, Stephen King";"1977";"0451076451"
"4301";"Amsterdam";"Ian McEwan";"1998";"0385494246"
"4302";"The Story of Art";"E.H. Gombrich";"1950";"071483355X"
"4303";"Hell's Corner ";"David Baldacci";"2010";"0230706150"
"4304";"I Too Had A Love Story";"Ravinder Singh";"2007";"8188575704"
"4305";"Pale Fire";"Vladimir Nabokov";"1962";"0141185260"
"4306";"Orthodoxy";"G.K. Chesterton";"1908";"160096527X"
"4307";"One Day at Horrorland";"R.L. Stine";"1994";"0439568412"
"4308";"The House of Silk";"Anthony Horowitz";"2011";"0316196991"
"4309";"Staked";"Kevin Hearne";"2016";"0345548515"
"4310";"Kiss of Crimson ";"Lara Adrian";"2007";"0553589385"
"4311";"The Cold Moon";"Jeffery Deaver";"2006";"0743296788"
"4312";"The Spectacular Now";"Tim Tharp";"2008";"0375851798"
"4313";"A Beautiful Mind";"Sylvia Nasar";"1998";"0571212921"
"4314";"In the Night Kitchen";"Maurice Sendak";"1970";"0099417472"
"4315";"The Autograph Man";"Zadie Smith";"2002";"037570387X"
"4316";"The Aeronaut's Windlass ";"Jim Butcher";"2015";"0451466802"
"4317";"The Wonder";"Emma Donoghue";"2016";"0316393878"
"4318";"Grave Mercy";"Robin LaFevers";"2012";"054762834X"
"4319";"Truce";"R.L. Mathewson";"2013";"0988573229"
"4320";"Eldest";"Christopher Paolini";"2005";"0375840400"
"4321";"Tampa";"Alissa Nutting";"2013";"0062280562"
"4322";"Cry to Heaven";"Anne Rice";"1982";"0345396936"
"4323";"One Shot";"Lee Child";"2005";"0440241022"
"4324";"A Simple Plan";"Scott B. Smith";"1993";"0307279952"
"4325";"Telegraph Avenue";"Michael Chabon";"2012";"0061493341"
"4326";"Infidel";"Ayaan Hirsi Ali";"2006";"0743289684"
"4327";"Prayers for Sale";"Sandra Dallas";"1997";"0312385188"
"4328";"Bite Me If You Can";"Lynsay Sands";"2007";"0060774126"
"4329";"Forest Born";"Shannon Hale";"2009";"1599901676"
"4330";"All-American Girl";"Meg Cabot";"2002";"0064472779"
"4331";"Fantasy Lover";"Sherrilyn Kenyon";"2002";"0312979975"
"4332";"A Place Called Freedom";"Ken Follett";"1995";"0449225151"
"4333";"Spark";"Brigid Kemmerer";"2012";"0758272820"
"4334";"Rainbow Valley";"L.M. Montgomery";"1919";"0553269216"
"4335";"Flag in Exile";"David Weber";"1995";"0671876813"
"4336";"If I Stay";"Gayle Forman";"2009";"0525421033"
"4337";"Shock Wave";"Clive Cussler";"1996";"0743449673"
"4338";"High Fidelity";"Nick Hornby";"1995";"1573225517"
"4339";"Captivated by You";"Sylvia Day";"2014";"0425273865"
"4340";"Cross";"James Patterson";"2006";"0316159794"
"4341";"Mr Maybe";"Jane Green";"1999";"0767905202"
"4342";"Alif the Unseen";"G. Willow Wilson";"2012";"0802120202"
"4343";"Mortal Prey";"John Sandford";"2002";"0425189864"
"4344";"Gone";"Lisa Gardner";"2006";"0553588079"
"4345";"Elle s'appelait Sarah";"Tatiana de Rosnay";"2007";"0312370830"
"4346";"Windmills of the Gods";"Sidney Sheldon";"1987";"0006174426"
"4347";"The Partner";"John Grisham";"1997";"0385339100"
"4348";"Mystery";"Jonathan Kellerman";"2011";"0345505697"
"4349";"Deadhouse Gates";"Steven Erikson";"2000";"0765310023"
"4350";"The Vanished Man";"Jeffery Deaver";"2003";"0743437810"
"4351";"The Double Bind";"Chris Bohjalian";"2007";"1400047463"
"4352";"Unspoken";"Sarah Rees Brennan";"2012";"0375870415"
"4353";"The Last Anniversary";"Liane Moriarty";"2006";"0060890681"
"4354";"Visions of Heat";"Nalini Singh";"2007";"042521575X"
"4355";"The Name of the Star";"Maureen Johnson";"2011";"0399256601"
"4356";"I'd Know You Anywhere";"Laura Lippman";"2010";"0061706558"
"4357";"Firestarter";"Stephen King";"1980";"0451167805"
"4358";"An Echo in the Bone";"Diana Gabaldon";"2009";"0752898477"
"4359";"Twisted Palace";"Erin Watt";"2016";"1682305066"
"4360";"Miller's Valley";"Anna Quindlen";"2016";"0812996089"
"4361";"Darkness";"John Saul";"1991";"0553297260"
"4362";"The Magicians' Guild";"Trudi Canavan";"2001";"1841493139"
"4363";"Restless";"William  Boyd";"2006";"0747589372"
"4364";"The Informers";"Bret Easton Ellis";"1994";"0330339184"
"4365";"One Door Away from Heaven";"Dean Koontz";"2001";"0553582755"
"4366";"Death du Jour";"Kathy Reichs";"1999";"0671011375"
"4367";"First Test";"Tamora Pierce";"1999";"0679889175"
"4368";"The Boston Girl";"Anita Diamant";"2014";"1439199353"
"4369";"Nefertiti";"Michelle Moran";"2007";"0307381463"
"4370";"Along Came a Spider";"James Patterson";"1993";"0446692638"
"4371";"Last Sacrifice ";"Richelle Mead";"2010";"1595143068"
"4372";"Hidden";"Sophie Jordan";"2012";"0061935123"
"4373";"Tortured for Christ";"Richard Wurmbrand";"1940";"0340863684"
"4374";"Keeping the Moon";"Sarah Dessen";"1999";"0142401765"
"4375";"Sophie's Choice";"William Styron";"1979";"0679736379"
"4376";"A Head Full of Ghosts";"Paul Tremblay";"2015";"0062363239"
"4377";"The Body Finder";"Kimberly Derting";"2010";"0061779814"
"4378";"Jacob";"Jacquelyn Frank";"2006";"0821780654"
"4379";"Swallows and Amazons";"Arthur Ransome";"1930";"087923573X"
"4380";"Finders Keepers";"Stephen King";"2015";"1501100130"
"4381";"Every Last Word";"Tamara Ireland Stone";"2015";"1484705270"
"4382";"Crossroads of Twilight";"Robert Jordan";"2003";"0312864590"
"4383";"The Elfstones Of Shannara";"Terry Brooks";"1982";"0736693416"
"4384";"The Jordan Rules";"Sam Smith, Doug Grud";"1992";"0671796666"
"4385";"We'll Always Have Summer";"Jenny Han";"2011";"1416995587"
"4386";"WAR";"Sebastian Junger";"2010";"0446556246"
"4387";"A House for Mr. Biswas";"V.S. Naipaul";"1961";"0330487191"
"4388";"Necessary Lies";"Diane Chamberlain";"2013";"1250010691"
"4389";"The Pigeon Wants a Puppy!";"Mo Willems";"2008";"1423109600"
"4390";"The Eight";"Katherine Neville";"1988";"0345366239"
"4391";"The Fourth Protocol";"Frederick Forsyth";"1984";"0099642611"
"4392";"The Complete Stories";"Flannery O'Connor";"1971";"0374515360"
"4393";"A Week in Winter";"Maeve Binchy";"2012";"140911399X"
"4394";"Ecstasy Unveiled";"Larissa Ione";"2010";"0446556823"
"4395";"Message in a Bottle";"Nicholas Sparks";"1998";"0446676071"
"4396";"Black Beauty";"Anna Sewell";"1877";"0439228905"
"4397";"Protect and Defend";"Vince Flynn";"2007";"074327041X"
"4398";"Providence";"Jamie McGuire";"2010";"0615417175"
"4399";"Master of the Game";"Sidney Sheldon";"1982";"0006472613"
"4400";"City of Bones";"Cassandra Clare";"2007";"1416914285"
"4401";"Finding Cassie Crazy";"Jaclyn Moriarty";"2003";"0439498821"
"4402";"Revival";"Stephen King";"2014";"1476770387"
"4403";"Moving Pictures";"Terry Pratchett";"1990";"0552152943"
"4404";"The Crimson Campaign";"Brian  McClellan";"2014";"0356502023"
"4405";"Celebrity in Death";"J.D. Robb";"2012";"0749955910"
"4406";"Twice Bitten ";"Chloe Neill";"2010";"0451230647"
"4407";"Absalom, Absalom!";"William Faulkner";"1936";"0679732187"
"4408";"Kindred in Death ";"J.D. Robb";"2009";"0749928999"
"4409";"Ogre, Ogre (Xanth, #5)";"Piers Anthony";"1982";"0345418530"
"4410";"Under the Dome";"Stephen King";"2009";"1439148503"
"4411";"Empress Orchid";"Anchee Min";"2003";"0618562036"
"4412";"Bad Feminist ";"Roxane Gay";"2014";"0062282719"
"4413";"Inca Gold";"Clive Cussler";"1994";"0743426800"
"4414";"A Fine Balance";"Rohinton Mistry";"1996";"140003065X"
"4415";"Jude the Obscure";"Thomas Hardy";"1895";"0486452433"
"4416";"Herr der Diebe";"Cornelia Funke";"2000";"1903434777"
"4417";"The Mephisto Club";"Tess Gerritsen";"2006";"0345476999"
"4418";"Red Mist";"Patricia Cornwell";"2011";"0399158022"
"4419";"The Other Wind";"Ursula K. Le Guin";"2001";"044101125X"
"4420";"Hush, Hush";"Becca Fitzpatrick";"2009";"1416989412"
"4421";"Lock In";"John Scalzi";"2014";"0765375869"
"4422";"We the Animals";"Justin Torres";"2011";"0547576722"
"4423";"Heartbreaker";"Julie Garwood";"2000";"1416503811"
"4424";"Death of a Salesman";"Arthur Miller";"1949";"0435233076"
"4425";"Hey Nostradamus!";"Douglas Coupland";"2003";"1582344159"
"4426";"Everlasting";"Alyson Noel";"2011";"142998192X"
"4427";"How the Light Gets In";"Louise Penny";"2013";"0312655479"
"4428";"The Long Way Home";"Louise Penny";"2014";"1250022061"
"4429";"Collected Poems";"Dylan Thomas";"1952";"0811202054"
"4430";"White Noise";"Don DeLillo";"1985";"0140283307"
"4431";"Atonement";"Ian McEwan";"2001";"038572179X"
"4432";"Shelter";"Harlan Coben";"2011";"0399256504"
"4433";"Tenth Grade Bleeds";"Heather Brewer";"2009";"0525421351"
"4434";"Depraved Heart";"Patricia Cornwell";"2015";"006232540X"
"4435";"Kiss of a Demon King ";"Kresley Cole";"2009";"1416580948"
"4436";"Think Twice";"Lisa Scottoline";"2010";"0312380755"
"4437";"Eternal Kiss of Darkness";"Jeaniene Frost";"2010";"0061783161"
"4438";"One Breath Away";"Heather Gudenkauf";"2012";"0778313654"
"4439";"Elixir";"Jennifer L. Armentrout";"2012";"1937053415"
"4440";"Chains";"Laurie Halse Anderson";"2008";"1416905855"
"4441";"Heat";"Bill Buford";"2006";"1400041201"
"4442";"Bare Bones";"Kathy Reichs";"2003";"074345300X"
"4443";"Heartburn";"Nora Ephron";"1983";"0679767959"
"4444";"Fear Nothing ";"Dean Koontz";"1998";"0553579754"
"4445";"Kristy's Great Idea";"Ann M. Martin";"1986";"0590224735"
"4446";"The Fourth Hand";"John Irving";"2001";"0345463153"
"4447";"Evening Class";"Maeve Binchy";"1996";"0752876821"
"4448";"Midnight Rising";"Lara Adrian";"2008";"0440244447"
"4449";"Barely Breathing";"Rebecca Donovan";"2012";"1452440026"
"4450";"Blood Cross";"Faith Hunter";"2010";"0451463072"
"4451";"Eragon";"Christopher Paolini";"2002";"0375826696"
"4452";"Five Little Pigs";"Agatha Christie";"1942";"0425093255"
"4453";"UnWholly";"Neal Shusterman";"2012";"1442423684"
"4454";"Altar of Eden";"James Rollins";"2009";"0061231428"
"4455";"Fifty Shades Darker";"E.L. James";"2011";"1612130585"
"4456";"Love Letters to the Dead";"Ava Dellaira";"2014";"0374346674"
"4457";"The Lords of the North";"Bernard Cornwell";"2006";"0060888628"
